id,cve_ent,turno,tipo,esp_3,esp_6,n_eval_3,n_eval_6
38858,15,MATUTINO,GENERAL,491,576,19,19
38859,15,MATUTINO,GENERAL,580,531,8,10
38860,15,MATUTINO,GENERAL,522,533,32,23
38861,15,MATUTINO,GENERAL,588,497,33,29
38862,15,VESPERTINO,GENERAL,515,474,41,42
38863,15,MATUTINO,GENERAL,508,465,38,38
38864,15,MATUTINO,GENERAL,539,533,98,90
38865,15,MATUTINO,GENERAL,611,636,87,87
38866,15,MATUTINO,GENERAL,635,481,50,42
38867,15,MATUTINO,GENERAL,553,532,110,113
38868,15,MATUTINO,GENERAL,630,510,47,46
38869,15,MATUTINO,GENERAL,569,485,164,140
38870,15,MATUTINO,GENERAL,566,544,102,96
38871,15,MATUTINO,GENERAL,552,499,55,42
38872,15,MATUTINO,GENERAL,510,494,45,46
38873,15,MATUTINO,GENERAL,611,629,42,36
38874,15,MATUTINO,GENERAL,542,610,75,61
