estado,clave,tipo,mate_6,num_evaluados_total,marginacion
AGUASCALIENTES,01DPR0374K,GENERAL,663.4,88,MUY BAJO
AGUASCALIENTES,01DPR0375J,GENERAL,602.22,11,BAJO
AGUASCALIENTES,01DPR0376I,GENERAL,530.57,68,MUY BAJO
AGUASCALIENTES,01DPR0377H,GENERAL,513.51,32,MUY BAJO
AGUASCALIENTES,01DPR0378G,GENERAL,643.82,95,MUY BAJO
AGUASCALIENTES,01DPR0379F,GENERAL,323.93,3,BAJO
AGUASCALIENTES,01DPR0380V,GENERAL,504.85,5,BAJO
AGUASCALIENTES,01DPR0381U,GENERAL,651.02,16,BAJO
AGUASCALIENTES,01DPR0382T,GENERAL,494.94,23,MEDIO
AGUASCALIENTES,01DPR0383S,GENERAL,515.05,39,BAJO
AGUASCALIENTES,01DPR0384R,GENERAL,606.17,19,MUY BAJO
AGUASCALIENTES,01DPR0385Q,GENERAL,501.08,4,ALTO
AGUASCALIENTES,01DPR0386P,GENERAL,494.49,2,BAJO
AGUASCALIENTES,01DPR0387O,GENERAL,503.11,13,BAJO
AGUASCALIENTES,01DPR0388N,GENERAL,378.7,12,BAJO
AGUASCALIENTES,01DPR0389M,GENERAL,500.86,27,MUY BAJO
AGUASCALIENTES,01DPR0390B,GENERAL,495.17,35,BAJO
AGUASCALIENTES,01DPR0391A,GENERAL,486.34,17,BAJO
AGUASCALIENTES,01DPR0392Z,GENERAL,533.99,33,BAJO
AGUASCALIENTES,01DPR0393Z,GENERAL,548.63,54,MUY BAJO
AGUASCALIENTES,01DPR0394Y,GENERAL,435.55,21,BAJO
AGUASCALIENTES,01DPR0395X,GENERAL,464.48,79,BAJO
AGUASCALIENTES,01DPR0396W,GENERAL,455.35,43,MUY BAJO
AGUASCALIENTES,01DPR0397V,GENERAL,523.72,55,MUY BAJO
AGUASCALIENTES,01DPR0398U,GENERAL,365.74,4,BAJO
AGUASCALIENTES,01DPR0399T,GENERAL,559.08,8,BAJO
AGUASCALIENTES,01DPR0400S,GENERAL,455.46,2,MEDIO
AGUASCALIENTES,01DPR0401R,GENERAL,569.41,6,BAJO
AGUASCALIENTES,01DPR0402Q,GENERAL,529.31,35,BAJO
AGUASCALIENTES,01DPR0403P,GENERAL,553.85,76,MUY BAJO
AGUASCALIENTES,01DPR0405N,GENERAL,507.71,24,MEDIO
AGUASCALIENTES,01DPR0406M,GENERAL,463.61,82,MUY BAJO
AGUASCALIENTES,01DPR0407L,GENERAL,535.88,16,MUY BAJO
AGUASCALIENTES,01DPR0408K,GENERAL,498.21,28,MUY BAJO
